

A1, bzip,eon,equake,galgel,gcc,mcf,mesa,swim,wupwise
sim_num_insn, 100000001,100000003,100000002,100000000,100000002,100000002,100000003,100000002,100000002
sim_num_refs, 33393490,47295231,35403747,8995424,46203359,35761060,35030678,24291284,12244896
sim_num_loads, 25471964,29832507,26923352,5266340,35220322,26936318,27417738,21852001,6122448
sim_num_stores, 7921526.0000,17462724.0000,8480395.0000,3729084.0000,10983037.0000,8824742.0000,7612940.0000,2439283.0000,6122448.0000
sim_IPC, 2.7164,1.2456,1.4467,1.4796,0.9772,1.5204,1.6499,1.7632,2.1778
sim_CPI, 0.3681,0.8028,0.6913,0.6759,1.0233,0.6577,0.6061,0.5671,0.4592
il1.hits, 101225766,116268992,106519033,102385402,117019046,103796418,107860525,100120037,100000008
il1.misses, 54,4994182,5236851,9360,9203099,4967204,3425473,62,15
il1.miss_rate, 0.0000,0.0412,0.0469,0.0001,0.0729,0.0457,0.0308,0.0000,0.0000
dl1.hits, 33351579,48153280,36127795,6112744,47342684,35794297,35929867,24031561,11989788
dl1.misses, 27164,199874,24045,103122,987601,171972,13194,257335,255108
dl1.miss_rate, 0.0008,0.0041,0.0007,0.0166,0.0204,0.0048,0.0004,0.0106,0.0208
ul2.hits, 26172,5244979,5264770,167847,10568743,5204656,3435589,375979,382154
ul2.misses, 13613,1326,7142,19577,33089,99083,6783,134820,127565
ul2.miss_rate, 0.3422,0.0003,0.0014,0.1045,0.0031,0.0187,0.0020,0.2639,0.2503

A2, bzip,eon,equake,galgel,gcc,mcf,mesa,swim,wupwise
sim_num_insn, 100000001,100000003,100000002,100000000,100000002,100000000,100000003,100000002,100000002
sim_num_refs, 33393490,47295231,35403747,8995424,46203359,35761059,35030678,24291284,12244896
sim_num_loads, 25471964,29832507,26923352,5266340,35220322,26936318,27417738,21852001,6122448
sim_num_stores, 7921526.0000,17462724.0000,8480395.0000,3729084.0000,10983037.0000,8824741.0000,7612940.0000,2439283.0000,6122448.0000
sim_IPC, 2.7164,1.5028,1.9797,1.4802,1.3324,2.1458,2.0461,1.7632,2.1778
sim_CPI, 0.3681,0.6654,0.5051,0.6756,0.7505,0.4660,0.4887,0.5671,0.4592
il1.hits, 101225766,119564522,108102428,102386287,122211463,104603559,108848862,100120037,100000008
il1.misses, 54,1315101,1465279,263,3239584,827490,921839,62,15
il1.miss_rate, 0.0000,0.0109,0.0134,0.0000,0.0258,0.0078,0.0084,0.0000,0.0000
dl1.hits, 33351579,48174274,36177945,6112454,47752111,35725244,35786683,24031561,11989788
dl1.misses, 27164,200139,24057,103122,989386,171971,13194,257335,255108
dl1.miss_rate, 0.0008,0.0041,0.0007,0.0166,0.0203,0.0048,0.0004,0.0106,0.0208
ul2.hits, 26172,1566354,1493211,158798,4607459,1064945,931959,375979,382154
ul2.misses, 13613,1326,7142,19529,32713,99077,6779,134820,127565
ul2.miss_rate, 0.3422,0.0008,0.0048,0.1095,0.0070,0.0851,0.0072,0.2639,0.2503

A3, bzip,eon,equake,galgel,gcc,mcf,mesa,swim,wupwise
sim_num_insn, 100000001,100000003,100000002,100000000,100000002,100000000,100000003,100000002,100000002
sim_num_refs, 33393490,47295231,35403747,8995424,46203359,35761059,35030678,24291284,12244896
sim_num_loads, 25471964,29832507,26923352,5266340,35220322,26936318,27417738,21852001,6122448
sim_num_stores, 7921526.0000,17462724.0000,8480395.0000,3729084.0000,10983037.0000,8824741.0000,7612940.0000,2439283.0000,6122448.0000
sim_IPC, 2.7164,1.5660,2.2361,1.4802,1.4124,2.2533,2.2523,1.7632,2.1778
sim_CPI, 0.3681,0.6386,0.4472,0.6756,0.7080,0.4438,0.4440,0.5671,0.4592
il1.hits, 101225766,119553829,108332012,102386287,123471601,104479882,108840904,100120037,100000008
il1.misses, 54,609085,216005,263,2219525,371254,285,62,15
il1.miss_rate, 0.0000,0.0051,0.0020,0.0000,0.0177,0.0035,0.0000,0.0000,0.0000
dl1.hits, 33351579,48149714,36021102,6112454,47848127,35510406,35781564,24031561,11989788
dl1.misses, 27164,200139,24057,103122,989923,171971,13194,257335,255108
dl1.miss_rate, 0.0008,0.0041,0.0007,0.0166,0.0203,0.0048,0.0004,0.0106,0.0208
ul2.hits, 26172,860338,243937,158798,3589009,608711,10408,375979,382154
ul2.misses, 13613,1326,7142,19529,31840,99075,6776,134820,127565
ul2.miss_rate, 0.3422,0.0015,0.0284,0.1095,0.0088,0.1400,0.3943,0.2639,0.2503

B1, bzip,eon,equake,galgel,gcc,mcf,mesa,swim,wupwise
sim_num_insn, 100000001,100000003,100000002,100000000,100000002,100000000,100000003,100000002,100000002
sim_num_refs, 33393490,47295231,35403747,8995424,46203359,35761059,35030678,24291284,12244896
sim_num_loads, 25471964,29832507,26923352,5266340,35220322,26936318,27417738,21852001,6122448
sim_num_stores, 7921526.0000,17462724.0000,8480395.0000,3729084.0000,10983037.0000,8824741.0000,7612940.0000,2439283.0000,6122448.0000
sim_IPC, 2.7046,1.3198,1.6858,1.4772,1.0871,1.9467,1.8325,1.7306,2.1778
